1 	 '+15 	 15 	 '+15
10 	 '+9) 	 9 	 '+9
100 	 '+15 	 15 	 '+15
101 	 '+12 	 12 	 '+]?
102 	 '+15 	 15 	 '+15
103 	 '+15 	 15 	 '+15
104 	 '+10 	 10 	 '+10
105 	 '+7, 	 7 	 '+]
106 	 '+13 	 13 	 '+13
107 	 '+12 	 12 	 '+]?
108 	 '+14 	 14 	 414
109 	 '+15 	 15 	 '+15
11 	 '+12 	 12 	 '+]?
110 	 13 	 13 	 '+13
111 	 '+h 	 4 	 '+4
112 	 '+14 	 14 	 414
113 	 '+14 	 14 	 414
114 	 '+12 	 12 	 '+]?
12 	 '+7, 	 7 	 '+]
13 	 '+12 	 12 	 '+]?
14 	 '+12 	 12 	 '+]?
15 	 '+15 	 15 	 '+15
16 	 '+9) 	 9 	 '+9
17 	 '+2 	 3 	 '+3
18 	 '+11 	 11 	 '+11
19 	 '+9) 	 9 	 '+9
2 	 '+15 	 15 	 '+15
20 	  	 12 	 '+]?
21 	 '+h, 	 4 	 '+4
22 	 '+5, 	 5 	 '+5
23 	 pe 	 0 	 4
24 	 pe 	 0 	 4
25 	 pe 	 0 	 4
26 	 '+14 	 14 	 414
27 	 '+13 	 13 	 '+13
28 	 '+12 	 12 	 '+]?
29 	 '+8 	 8 	 '+§8
3 	  	 15 	 '+15
30 	 '+14 	 14 	 414
31 	 '+11 	 11 	 '+11
32 	 '+11 	 11 	 '+11
33 	  	 10 	 '+10
34 	 '+12 	 12 	 '+]?
35 	 4 	 0 	 a
36 	 '+15 	 15 	 '+15
37 	 '+15 	 15 	 '+15
38 	 '+15 	 15 	 '+15
39 	 '+8) 	 8 	 '+§
4 	 5 	 0 	 a
40 	 '+15 	 15 	 '+15
41 	 '+15 	 15 	 '+15
42 	 4 	 0 	 a
43 	 4 	 0 	 a
44 	 '+10 	 10 	 '+10
45 	 A 	 0 	 a
46 	 '+7, 	 7 	 '+]
47 	 '+15 	 15 	 '+15
48 	 '+15 	 15 	 '+15
49 	 = 	 0 	 a
5 	  	 15 	 '+15
50 	 '+15 	 15 	 '+15
51 	 '+14 	 14 	 414
52 	 '+11 	 11 	 '+11
53 	 '+12 	 12 	 '+]?
54 	 '+15 	 15 	 '+15
55 	 '+12 	 12 	 '+]?
56 	 '+13 	 13 	 '+13
57 	 '+15 	 15 	 '+15
58 	 = 	 0 	 a
59 	 '+15 	 15 	 '+15
6 	 '+3, 	 3 	 '+ 3
60 	 '+15 	 15 	 '+15
61 	  	 13 	 '+13
62 	 '+12 	 12 	 '+]?
63 	 '+14 	 14 	 414
64 	  	 15 	 '+15
65 	 '+15 	 15 	 '+15
66 	 “= 	 0 	 a
67 	 '+15 	 15 	 '+15
68 	 '+6, 	 6 	 '+6
69 	 4 	 0 	 a
7 	 '+15 	 15 	 '+15
70 	 '+h, 	 4 	 '+4
71 	  	 12 	 '+]?
72 	 '+11 	 11 	 '+11
73 	 '+12 	 12 	 '+]?
74 	 '+6, 	 6 	 '+6
75 	 '+13 	 13 	 '+13
76 	 '+2, 	 2 	 '+2
77 	 '+9) 	 9 	 '+9
78 	 '+15 	 15 	 '+15
79 	 '+15 	 15 	 '+15
8 	 Ke 	 0 	 4
80 	 '+8, 	 8 	 '+§
81 	 '+14 	 14 	 414
82 	 '+15 	 15 	 '+15
83 	 '+15 	 15 	 '+15
84 	 '+12 	 12 	 '+]?
85 	 '+14 	 14 	 414
86 	 '+12 	 12 	 '+]?
87 	 '+15 	 15 	 '+15
88 	 '+3, 	 3 	 '+ 3
89 	 '+10 	 10 	 '+10
9 	 '+5, 	 5 	 '+5
90 	  	 15 	 #715
91 	 '+7, 	 7 	 '+]
92 	 '+5, 	 5 	 '+5
93 	 '+11 	 11 	 '+11
94 	 '+3, 	 3 	 '+ 3
95 	 '+14 	 14 	 414
96 	 '+15 	 15 	 '+15
97 	 4 	 0 	 a
98 	 '+15 	 15 	 '+15
99 	 '+15 	 15 	 '+15
